Clustered 140 primary and secondary data
  6
Xlocation                               
Ylocation                               
Primary                                 
Secondary                               
Declustering Weight                     
Weight*nd
39.5 18.5   .06   .22 1.619    1.28130
 5.5  1.5   .06   .27 1.619    1.40010
38.5  5.5   .08   .40 1.416    1.61324
20.5  1.5   .09   .39 1.821    1.79745
27.5 14.5   .09   .24 1.349    1.43016
40.5 21.5   .10   .48  .944    1.08686
15.5  3.5   .10   .21 1.214    1.21589
 6.5 25.5   .11   .36 1.619    1.08344
38.5 21.5   .11   .22 1.146    1.08686
23.5 18.5   .16   .30 1.821    1.79745
  .5 25.5   .16   .31 1.349    1.79745
 9.5 19.5   .17   .30 1.012    1.22726
36.5 43.5   .18  1.60  .944    0.97542
21.5  5.5   .19   .59 1.416    1.21589
13.5  3.5   .19   .18 1.146    1.21589
40.5  7.5   .19   .75 1.012    1.61324
31.5 17.5   .22   .44 1.619    1.79745
46.5 40.5   .24   .58 1.821    1.62461
10.5  7.5   .26   .54 1.281    1.21589
28.5 11.5   .28   .62 1.551    1.04305
 8.5  7.5   .28   .97 1.281    1.21589
47.5   .5   .31  2.88 2.023    1.79745
 4.5 37.5   .32   .35  .944    0.97542
14.5 21.5   .33   .48 1.619    1.43016
22.5 48.5   .34   .48 2.023    1.79745
18.5  6.5   .34   .23 1.619    1.41034
 3.5 38.5   .34   .51  .944    0.97542
11.5 46.5   .40   .47 1.079    1.04305
31.5 26.5   .45   .74 1.619    1.59455
14.5 29.5   .46  2.52 1.025    1.22726
14.5 43.5   .51  1.21 1.079    1.41034
38.5 28.5   .57  5.55 1.083    0.97135
45.5 14.5   .62  2.30 1.281    1.23750
 4.5 30.5   .65  1.06 1.416    1.48028
 6.5 41.5   .67   .43 1.821    1.14826
 7.5 12.5   .71  2.07 1.551    1.41034
26.5 23.5   .79  1.40 1.281    1.08686
 8.5 45.5   .81   .80 1.821    1.21589
14.5 46.5   .83   .72 1.079    1.04305
13.5 24.5   .84   .60 1.012    1.10162
26.5  1.5   .89  1.01 1.619    1.62461
33.5  7.5   .92   .99 1.619    1.22726
45.5 22.5   .93  1.29 1.416    1.79745
48.5 25.5   .94  1.06 1.619    1.62461
35.5 10.5   .96   .66 1.214    1.40010
34.5 14.5   .99   .52 1.214    1.79745
13.5 39.5   .99  1.53 1.821    1.79745
 7.5 18.5  1.01   .67 1.214    1.04305
15.5 27.5  1.02   .66 1.146    1.21589
 3.5 33.5  1.10  1.09 1.146    1.44040
11.5 15.5  1.11   .42 1.315    1.40010
22.5 30.5  1.21  2.16 1.416    1.62461
45.5 29.5  1.21  2.07 1.619    1.43016
13.5 12.5  1.27   .61 1.517    1.33247
22.5 11.5  1.34  2.15 1.821    1.79745
17.5 34.5  1.36  2.58 1.619    1.59455
39.5 43.5  1.37  1.45 1.146    1.04305
 3.5 23.5  1.38   .99  .944    1.14826
30.5 22.5  1.38  1.37 1.416    1.40010
46.5 13.5  1.66  4.68 1.079    1.23750
30.5  9.5  1.70  1.30 1.349    1.23750
27.5 32.5  1.71  3.61  .944    1.15963
12.5 34.5  1.78  6.25 1.497    1.79745
25.5  4.5  1.81  1.37 1.416    1.43016
27.5 34.5  1.82  4.73 1.146    1.15963
45.5  6.5  1.89  1.89 2.023    1.60300
 3.5 47.5  1.96  3.47 2.023    1.79745
33.5 31.5  1.98  4.96  .571    0.80290
41.5 26.5  2.13  1.80 1.281    1.60300
19.5 20.5  2.17  1.41 1.416    1.60300
  .5 41.5  2.33  1.98 1.619    1.79745
 5.5 22.5  2.34  1.25  .944    1.14826
43.5 10.5  2.47  1.80  .877    1.60300
41.5 45.5  2.75  2.65 1.619    1.41034
28.5 42.5  2.76  7.66  .573    0.58808
21.5 34.5  2.84  3.66 1.416    1.42171
16.5 13.5  2.99  2.74  .870    0.74823
23.5 24.5  3.04  1.66 1.079    1.08686
 2.5  1.5  3.33  1.89 1.619    1.40010
47.5 44.5  3.35  2.94 1.821    1.62461
39.5 38.5  3.51   .87  .958    0.85104
46.5 34.5  3.81  4.44 2.023    1.79745
35.5 45.5  4.60  4.70  .787    1.03159
25.5 25.5  4.89  2.10 1.281    1.08686
28.5 44.5  5.05  5.18  .587    0.58808
19.5 42.5  5.15  2.19 2.023    1.79745
38.5 36.5  5.31  3.29  .347    0.38082
 2.5  9.5  6.26 17.02  .292    0.31022
32.5 36.5  6.41  2.45  .348    0.37417
  .5  8.5  6.49 14.95  .328    0.37880
31.5 45.5  7.53 10.21  .306    0.34130
 9.5 29.5  8.03  5.21  .445    0.41526
39.5 31.5  8.34  8.02  .341    0.32275
17.5 15.5  9.08  3.32  .445    0.39706
 2.5 14.5 10.27  5.67  .429    0.41263
30.5 41.5 17.19 10.10  .360    0.35454
35.5 32.5 18.76 10.76  .261    0.28779
37.5 36.5  3.64  3.86  .311    0.41152
38.5 35.5  3.59  4.99  .324    0.36786
38.5 37.5  9.08  1.68  .499    0.50256
39.5 36.5  2.22  3.23  .482    0.45299
 1.5  9.5  7.56 19.74  .272    0.28993
 2.5  8.5  8.90 12.32  .348    0.33427
 2.5 10.5  2.55 15.91  .309    0.33614
 3.5  9.5  7.92 12.01  .444    0.44179
31.5 36.5  4.29  2.49  .438    0.45146
32.5 35.5  2.33  2.30  .335    0.34176
32.5 37.5  3.21  2.75  .510    0.72199
33.5 36.5  7.71  2.82  .315    0.40487
  .5  7.5 12.74 14.04  .682    0.69458
  .5  9.5 15.77 22.46  .272    0.35474
 1.5  8.5 20.35 14.09  .328    0.31398
30.5 45.5  5.54  9.00  .339    0.32834
31.5 44.5  5.38  9.08  .306    0.32402
31.5 46.5 15.77 11.87  .665    0.65242
32.5 45.5 10.20  9.61  .360    0.41860
 8.5 29.5  9.01  4.38  .566    0.46337
 9.5 28.5  9.27  4.40  .769    0.46337
 9.5 30.5  3.56  5.84  .546    0.67452
10.5 29.5  2.52  6.19  .479    0.50168
38.5 31.5 18.64 11.79  .298    0.29870
39.5 30.5  7.94  7.09  .425    0.45238
39.5 32.5  2.28  9.32  .341    0.32275
40.5 31.5  2.51  4.96  .493    0.62522
16.5 15.5 19.44  3.60  .445    0.43088
17.5 14.5  2.96  3.17  .546    0.48348
17.5 16.5  2.97  3.62  .566    0.51373
18.5 15.5  4.92  2.86  .769    0.69180
 1.5 14.5  5.54  5.92  .733    0.71698
 2.5 13.5  8.71 11.72  .345    0.38858
 2.5 15.5  2.74  4.07  .789    0.68918
 3.5 14.5  3.61  5.03  .497    0.68895
29.5 41.5 58.32 10.26  .450    0.40063
30.5 40.5 11.08  9.31  .396    0.67861
30.5 42.5 21.08 10.26  .326    0.31106
31.5 41.5 22.75  8.21  .427    0.36750
34.5 32.5  9.42  6.76  .413    0.41742
35.5 31.5  8.48 12.78  .419    0.43272
35.5 33.5  2.82  9.21  .271    0.33691
36.5 32.5  5.26 12.40  .252    0.28779
