KT3D ESTIMATES WITH:  Irregular Spaced 29 primary and secondary data            
2
Estimate
EstimationVariance
    2.017    49.702
    1.827    48.212
    1.776    48.353
    1.728    48.576
    1.604    49.552
    1.579    49.821
    1.205    48.106
    1.380    48.321
    1.390    48.245
    1.391    48.236
    1.393    48.218
    1.379    48.106
    1.323    47.826
    1.249    47.099
    1.167    45.738
    1.088    43.577
    0.859    40.374
    0.681    36.893
    0.596    32.435
    0.517    27.713
    0.478    24.993
    0.565    27.225
    0.720    30.932
    0.876    33.974
    0.952    36.207
    0.747    38.720
    0.958    40.243
    1.286    41.302
    1.571    43.485
    1.902    46.492
    2.263    50.499
    2.151    50.763
    1.793    49.429
    1.476    49.423
    1.165    50.385
    0.770    53.200
    0.733    53.009
    0.772    51.964
    0.894    50.321
    0.521    50.464
    0.494    50.633
    0.459    51.209
    0.422    52.125
    0.358    53.829
    0.436    53.068
    0.715    55.052
    0.932    52.882
    1.292    56.820
    1.503    62.407
    1.680    72.698
    1.599    48.392
    1.601    47.826
    1.547    47.985
    1.502    48.194
    1.402    48.601
    1.371    48.868
    1.206    48.098
    1.223    47.976
    1.231    47.922
    1.233    47.914
    1.234    47.905
    1.219    47.795
    1.165    47.487
    1.097    46.739
    1.153    45.642
    1.065    43.401
    0.831    40.020
    0.722    36.105
    0.617    31.111
    0.470    25.051
    0.090     0.000
    0.552    24.065
    0.746    28.473
    0.923    31.266
    1.094    32.915
    1.167    34.289
    1.082    36.384
    1.350    38.535
    1.548    41.048
    1.699    43.666
    2.083    47.853
    2.008    49.006
    1.706    48.837
    1.428    49.237
    1.162    49.965
    0.796    52.007
    0.721    51.789
    0.740    50.561
    0.814    49.037
    0.481    48.803
    0.468    48.729
    0.512    47.572
    0.476    48.552
    0.443    49.853
    0.502    49.894
    0.671    49.028
    0.997    50.312
    1.474    61.233
    1.691    72.242
    1.953    90.859
    1.541    48.234
    1.545    47.736
    1.511    47.632
    1.474    47.867
    1.381    48.618
    1.202    48.036
    1.206    48.056
    1.224    47.960
    1.231    47.922
    1.229    47.940
    1.230    47.931
    1.212    47.860
    1.163    47.557
    1.101    46.819
    1.023    45.527
    0.947    43.466
    0.841    40.456
    0.741    36.829
    0.652    32.365
    0.577    27.517
    0.555    24.427
    0.642    25.809
    0.836    28.097
    1.029    29.221
    1.208    29.329
    1.294    29.880
    1.265    32.097
    1.423    35.226
    1.547    38.801
    1.639    41.961
    1.913    45.793
    1.879    47.715
    1.595    48.349
    1.338    49.039
    1.111    49.567
    0.767    51.063
    0.684    50.393
    0.684    48.833
    0.751    46.911
    0.766    44.687
    0.517    44.601
    0.513    44.936
    0.486    46.027
    0.453    47.650
    0.496    48.478
    0.765    49.723
    0.949    49.742
    1.360    57.111
    1.557    65.009
    1.791    78.676
    1.555    47.365
    1.548    46.918
    1.501    47.117
    1.468    47.382
    1.360    48.361
    1.188    47.794
    1.191    47.853
    1.202    47.856
    1.213    47.859
    1.220    47.888
    1.222    47.940
    1.207    47.955
    1.167    47.687
    1.110    47.050
    1.034    45.961
    0.950    44.256
    0.759    41.502
    0.687    38.585
    0.707    35.301
    0.675    32.010
    0.703    29.869
    0.805    29.367
    0.954    29.217
    1.147    28.088
    1.325    25.769
    1.471    24.404
    1.472    27.495
    1.348    32.415
    1.381    36.723
    1.397    40.479
    1.411    43.202
    1.465    45.807
    1.358    48.131
    1.127    49.343
    0.956    49.679
    0.709    50.145
    0.619    48.921
    0.576    45.647
    0.741    43.353
    0.644    41.934
    0.468    41.394
    0.493    41.716
    0.497    42.986
    0.496    44.770
    0.519    46.461
    0.747    48.540
    0.919    49.098
    1.286    54.905
    1.453    60.470
    1.688    72.066
    1.661    45.749
    1.602    45.607
    1.548    45.709
    1.456    46.290
    1.211    46.486
    1.179    46.887
    1.156    47.251
    1.146    47.508
    1.168    47.546
    1.512    47.487
    1.202    47.730
    1.195    47.910
    1.174    47.791
    1.129    47.338
    1.065    46.475
    0.990    45.156
    0.810    42.902
